harris,,local_laplacian,,unsharp,,bilateral_grid,,camera_pipe,,nl_means,,stencil_chain,,iir_blur,,interpolate,,max_filter,
ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline
30708,30964,245600,247384,34534,34278,36580,37028,90362,91298,54770,36402,376600,376920,32106,32170,97834,98114,37344,37776
47268,47748,697264,719360,30270,30238,36340,35764,108106,110042,55018,36370,328112,326496,33002,33450,104882,106178,48008,48472
28740,29188,738808,747312,33654,33862,37380,37780,129738,130514,61394,41354,317568,319040,38746,39706,104730,106050,34352,34632
29084,29388,435432,432160,32438,32134,37436,37612,78306,78242,90122,93106,254888,254664,40434,40906,116114,117170,38840,39192
22668,23116,668240,668352,33734,33918,35252,35412,71386,76330,41178,42018,324768,238352,38698,38634,111874,112402,48808,49016
45556,45828,462760,469944,31430,31462,29100,29212,132490,131762,56810,39482,249768,250024,24578,24818,104402,105450,29288,29544
19876,20132,564808,572448,30246,30598,28716,29260,95210,95826,55434,55506,254552,252704,33178,33882,133770,132690,26560,27224
18524,18780,539864,553576,30926,30782,60980,59364,107730,107762,75986,79114,358920,355040,45882,46514,104626,105066,29096,29208
52788,52900,389576,384664,35390,35070,37748,37924,76290,75954,69802,72194,233528,232272,26906,26970,148658,148154,38416,38704
36668,36940,460896,467608,29166,29566,32972,32956,110490,111906,60754,40490,402352,402736,28898,29074,102930,104122,34344,34728
19316,19636,372024,374768,37846,37894,36692,37060,165074,164474,54170,36818,336672,337456,28522,28714,96306,96682,43344,43576
21212,21532,394024,385992,132494,132430,33716,34340,100706,109034,79922,84154,287832,288128,45146,44946,103546,104642,27328,27696
29860,30116,391312,397752,32670,32702,35708,35300,118314,117402,45434,64730,240224,240176,30946,33410,106010,106426,36120,36568
