harris,,local_laplacian,,unsharp,,bilateral_grid,,camera_pipe,,nl_means,,stencil_chain,,iir_blur,,interpolate,,max_filter,
ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline
902.729340,1034.326557,452266.589233,479507.672636,2271.614172,2205.995200,6271.550013,6679.319847,8160.433674,9298.634289,87038.844043,93571.202898,167647.153618,161184.113859,7594.396379,7387.753812,14372.284879,15588.466394,1606.401510,1364.260415
492.126143,729.374178,401242.123851,436089.164140,1540.361871,1474.648580,4685.097559,4939.648559,19961.055642,22809.489959,26966.586461,9488.985838,197149.826915,191785.125926,3005.175570,3052.369030,13806.106733,14931.539442,1593.690442,1287.993153
1915.191065,863.307407,334849.184917,347268.802507,3567.419200,2638.867323,6146.399566,5821.394422,11716.023126,12901.267911,28407.007166,10277.042605,312140.040798,304088.460474,1949.771863,2430.375001,14016.853690,11892.989648,1157.828740,814.149291
1239.235864,1631.799633,37901.290297,42569.817883,2300.101040,1822.329639,6485.035973,6206.861546,7088.314453,7974.871863,67470.061612,67032.695113,162114.260599,168738.710294,5319.993765,6298.517724,13208.915633,12954.143788,1673.432816,1620.842626
3968.125523,3696.816161,77442.396180,83410.681787,1687.442804,2328.933272,5333.547569,2850.065555,12091.434282,12007.521880,56359.634754,60157.592595,173345.265363,166887.917654,5339.859216,4275.156891,13093.977597,11204.693506,694.300809,1147.121594
1697.647806,2632.600251,166104.195510,187732.638875,2926.421675,2588.732201,3829.842641,4665.534992,20886.778053,16618.119605,23373.574135,30381.402146,170076.526364,167540.147094,1592.184719,2479.064489,10802.511277,13763.028489,538.010693,1534.174275
1053.998423,888.578350,174616.783237,239410.173697,1739.958940,1808.500760,5557.912142,5419.616439,14596.529574,20493.269704,62605.475462,75211.372962,222085.150748,234086.056340,4097.728146,4569.147861,15137.376197,16214.096493,1174.778538,1112.975692
1467.104676,1748.824315,401175.541646,421439.613853,1599.508284,1864.030982,7234.244952,7621.501910,51390.157141,45879.125002,22202.433360,7497.924333,166919.685544,162185.468026,2782.952687,4473.043645,13804.615883,14172.479195,1675.097128,1594.041055
1194.226031,1202.197458,35104.020778,40953.069047,1874.214397,1762.690136,3887.279555,3813.056835,12246.311194,13264.504122,7563.562790,8617.248035,318686.949240,315572.509798,5044.152806,5366.589520,11839.585382,10988.814500,888.228087,1174.274502
1475.792898,1490.993029,306614.063046,315978.531002,3252.417295,2839.979168,4833.721604,5191.024965,10202.710398,10087.700210,35920.429361,15072.243587,245317.661610,250489.845654,2426.689624,3112.284953,12195.408140,13363.730570,1022.343257,1000.088487
1063.293826,808.009804,56464.818149,59250.146523,3313.992126,3347.704408,6190.818530,5808.945530,10091.425604,13750.361347,92877.995711,97224.362983,323594.998928,328610.904637,3612.688019,4023.198912,10420.866819,8574.103323,1014.005966,1133.562683
2167.587048,665.169116,416552.845085,429824.133732,3450.883057,3444.378807,2956.263407,2779.146265,13490.229203,12141.166263,50200.760704,63434.030499,167260.657601,158364.435337,4409.633365,4526.764015,10109.533593,11801.032578,1041.848499,983.306659
811.914198,674.297811,410882.024365,446538.693530,1516.595278,1356.356463,4760.226093,4927.990012,12403.244723,11087.207343,55869.849873,54365.246697,292751.439563,313448.581295,7948.050481,7790.624310,13801.542545,11597.530974,1870.419531,1958.078731
1714.536631,1417.485127,311216.829025,333991.164661,3431.630233,3388.768707,4408.789426,4643.102492,35245.687216,39716.264573,14701.303222,5917.919083,271097.130317,245539.293538,4483.755514,4704.834081,15197.377517,14007.514141,1322.647617,653.085691
2549.104857,2593.941826,407670.747408,492751.901820,3835.743255,4012.726806,3925.633711,4036.906699,10807.440763,11420.716323,46360.031399,54336.581902,312947.453551,306916.888610,2790.830868,2192.977839,12786.881170,13712.067527,1385.156459,1397.375572
651.672462,555.859770,479603.602664,493377.100743,3244.115264,3715.537635,5652.772686,5016.730332,44301.862837,38551.818697,50575.355443,54628.052459,168419.689429,157372.242207,5586.267245,5734.188880,11694.037334,12099.553952,651.659729,748.540632
1548.933755,1760.379282,338785.596010,353476.131348,2249.673236,2128.165061,3192.652389,2905.542460,22475.111380,21254.485402,30035.494426,36612.486590,300199.437506,300144.739667,7858.512758,7503.245348,14045.174103,14026.107687,1292.614629,1553.455952
1221.714215,1316.800764,316157.931868,365641.191665,1886.360092,1873.174836,5794.707750,5914.217047,14889.980365,18848.300047,51601.843804,59721.213831,319750.147052,313916.537459,6850.903660,8037.772288,13546.340613,15067.512381,1303.740751,1332.233387
2237.096844,2259.636574,300091.422118,329158.033973,2961.120782,3003.025111,3757.510061,4001.250146,25678.608732,22439.962530,35148.930320,54191.635291,295744.310478,283748.410972,4550.686296,4351.961440,11274.175534,11737.909957,715.600136,654.818494
816.609367,978.477042,475364.230541,519701.750362,873.170972,1893.717638,5188.268839,4250.024640,8076.622843,8528.780838,30395.527016,50404.338397,307772.431965,324923.409361,4515.748825,5385.207635,8336.208022,12437.742861,992.034463,1551.279031
848.766721,1321.663449,429986.933420,459688.661522,1934.011333,2193.679203,6121.218814,5941.949474,8872.783573,8709.563659,70212.339911,85517.247483,17211.606361,18528.591674,5262.539878,5443.820824,10963.591113,11875.723900,1865.261384,1012.173044
1076.579112,1209.841110,426440.397997,464089.943177,2224.403346,2350.640673,3943.738358,2536.170210,23837.048483,25414.533594,26880.027750,35293.853425,149467.649715,160325.841623,4267.182368,5235.597217,12115.141050,13009.469284,706.089284,664.630443
1646.849620,1482.510293,289017.959152,325758.570437,1461.356540,1068.235513,3347.073242,3592.257995,7148.794846,7292.272998,43388.633842,45528.913892,300785.924692,307160.221892,5118.756017,4979.227541,8946.633632,10605.576609,1240.227955,511.165671
783.680607,454.554197,438395.043148,474055.783643,1418.243289,2654.444913,2684.757427,3016.999076,11356.610358,13085.459125,13762.474768,15492.787954,306596.674639,313741.132837,1619.113547,3485.134687,14105.777184,14500.620508,1139.153509,1072.621873
1867.203910,1678.453884,300480.804625,336241.277090,849.711954,972.888916,5319.910206,5380.512035,9458.550378,9370.092941,67363.159835,83864.365517,23689.400016,22052.153727,3387.472366,2895.324032,11117.513130,10756.708088,1477.830399,1509.374401
536.149176,939.854883,276583.169247,290968.211835,3021.826685,4637.352315,2316.575259,4427.129008,18118.068533,25151.084107,63004.885887,75893.091712,154004.703204,150378.015834,6067.808633,6270.136451,11352.116383,11281.844776,685.544116,1042.776013
1310.640431,1128.761244,273903.325907,304823.597406,1081.963884,1205.809086,4715.895953,5106.497181,10413.856014,10232.531382,63311.499721,67251.702087,187834.407240,183606.013920,4837.761664,4644.526829,17154.676253,15538.247858,1448.889881,1592.459496
2246.651922,2371.208522,86605.516944,79157.070201,642.836689,655.545074,2212.414311,2118.876435,15775.248476,12834.522050,32941.716228,15134.881269,22642.730122,24213.051968,883.866112,1248.270644,14655.628569,15576.826644,800.750350,1329.371362
2403.940578,2399.381817,35785.804328,32719.911858,2261.412792,1640.707893,3172.099337,3333.102681,25743.113576,27621.846339,73255.437435,75335.364527,187581.565733,187659.982472,2582.966234,2293.494076,13273.125802,12918.835359,880.716595,814.179591
