harris,,local_laplacian,,unsharp,,bilateral_grid,,camera_pipe,,nl_means,,stencil_chain,
ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline
      0       0       0,      0       0       0,      1       9      55,     35     315    1925,      0       0       0,      0       0       0,      0       0       0,      0       0       0,     11      99     605,     11      99     605,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,     63     567    3465,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      2      18     110,      2      18     110,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,     63     567    3465,      0       0       0,      0       0       0,      0       0       0,      0       0       0,     16     144     880,     10      90     550,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,     63     567    3465,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      1       9      55,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      0       0       0,     62     558    3410,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      2      18     110,      2      18     110,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,     63     567    3465,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      0       0       0,     62     558    3410,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      6      54     330,      6      54     330,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      0       0       0,     34     306    1870,      0       0       0,      0       0       0,      0       0       0,      0       0       0,     14     126     770,      8      72     440,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,     18     162     990,     80     720    4400,      4      36     220,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      2      18     110,      2      18     110,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      2      18     110,     64     576    3520,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      1       9      55,      0       0       0,      0       0       0,      1       9      55,      1       9      55
      0       0       0,      0       0       0,      1       9      55,     63     567    3465,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      2      18     110,      2      18     110,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,     63     567    3465,      4      36     220,      0       0       0,      0       0       0,      0       0       0,      4      36     220,      4      36     220,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,     18     162     990,      0       0       0,      0       0       0,      0       0       0,      0       0       0,     31     279    1705,     23     207    1265,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      2      18     110,     64     576    3520,      0       0       0,      0       0       0,      0       0       0,      0       0       0,     10      90     550,     10      90     550,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,     35     315    1925,      0       0       0,      0       0       0,      0       0       0,      0       0       0,     10      90     550,      4      36     220,      0       0       0,      0       0       0,      1       9      55,      1       9      55
      1       9      55,      0       0       0,      2      18     110,     64     576    3520,      5      45     275,      0       0       0,      1       9      55,      1       9      55,      1       9      55,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      0       0       0,     62     558    3410,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      5      45     275,      0       0       0
      0       0       0,      0       0       0,      0       0       0,     21     189    1155,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,     63     567    3465,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      0       0       0,     62     558    3410,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      2      18     110,     64     576    3520,      1       9      55,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      2      18     110,     64     576    3520,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,     24     216    1320,     84     756    4620,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,     42     378    2310,     38     342    2090,      0       0       0,      1       9      55,      0       0       0,      0       0       0,     14     126     770,     14     126     770,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,     63     567    3465,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      2      18     110,     64     576    3520,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      2      18     110,      2      18     110,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      0       0       0,     62     558    3410,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      2      18     110,      2      18     110,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,     63     567    3465,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      2      18     110,     19     171    1045,      1       9      55,      1       9      55,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,     63     567    3465,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,     18     162     990,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,     63     567    3465,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      2      18     110,      2      18     110,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,     17     153     935,     19     171    1045,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,     18     162     990,     78     702    4290,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      2      18     110,     64     576    3520,      0       0       0,      1       9      55,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,     62     558    3410,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      2      18     110,      2      18     110,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,     63     567    3465,      0       0       0,      0       0       0,      0       0       0,      2      18     110,      1       9      55,      1       9      55,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      0       0       0,     62     558    3410,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      2      18     110,      2      18     110,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,     18     162     990,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      2      18     110,      2      18     110,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      0       0       0,     62     558    3410,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,     63     567    3465,      0       0       0,      0       0       0,      1       9      55,      1       9      55,     15     135     825,      9      81     495,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,     63     567    3465,      1       9      55,      0       0       0,      1       9      55,      1       9      55,      4      36     220,      4      36     220,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      4      36     220,     70     630    3850,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      0       0       0,     62     558    3410,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      6      54     330,     64     576    3520,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      3      27     165,      0       0       0,      1       9      55,     91     819    5005,      5      45     275,      0       0       0,      0       0       0,      0       0       0,      4      36     220,      2      18     110,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      0       0       0,     62     558    3410,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,     20     180    1100,     14     126     770,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      2      18     110,     19     171    1045,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      2      18     110,      2      18     110,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      0       0       0,     17     153     935,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      0       0       0,     90     810    4950,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,     18     162     990,     78     702    4290,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,     63     567    3465,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      4      36     220,     70     630    3850,      0       0       0,      0       0       0,      1       9      55,      0       0       0,      3      27     165,      3      27     165,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      0       0       0,     90     810    4950,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      2      18     110,      2      18     110,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,     63     567    3465,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      0       0       0,     62     558    3410,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      0       0       0,     62     558    3410,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      0       0       0,     62     558    3410,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      1       9      55,      1       9      55,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      2      18     110,     19     171    1045,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,     63     567    3465,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      3      27     165,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      3      27     165,     26     234    1430,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      1       9      55,      0       0       0,      2      18     110,     64     576    3520,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      2      18     110,      2      18     110,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,     63     567    3465,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,     63     567    3465,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      2      18     110,      2      18     110,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,     29     261    1595,     87     783    4785,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      3      27     165,      3      27     165,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      3      27     165,      3      27     165,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      7      63     385,      7      63     385,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      3      27     165,     65     585    3575,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,     18     162     990,     80     720    4400,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      2      18     110,      2      18     110,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      0       0       0,     62     558    3410,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      4      36     220,      4      36     220,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      1       9      55,      1       9      55,      3      27     165,     99     891    5445,      1       9      55,      1       9      55,      1       9      55,      1       9      55,      2      18     110,      2      18     110,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      9      81     495,      0       0       0,      0       0       0,     90     810    4950,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      3      27     165,      3      27     165,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      3      27     165,     93     837    5115,      0       0       0,      0       0       0,      0       0       0,      0       0       0,     21     189    1155,     12     108     660,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      0       0       0,     62     558    3410,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      2      18     110,      0       0       0,      0       0       0,     62     558    3410,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,     63     567    3465,      0       0       0,      0       0       0,      0       0       0,      0       0       0,     22     198    1210,     16     144     880,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      0       0       0,     90     810    4950,      1       9      55,      1       9      55,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,     18     162     990,     80     720    4400,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      3      27     165,      3      27     165,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,     63     567    3465,      0       0       0,      1       9      55,      0       0       0,      0       0       0,      2      18     110,      2      18     110,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,     63     567    3465,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      0       0       0,     62     558    3410,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      1       9      55,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,     63     567    3465,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      1       9      55,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      0       0       0,     62     558    3410,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      3      27     165,      3      27     165,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,     63     567    3465,      0       0       0,      0       0       0,      1       9      55,      1       9      55,     13     117     715,     10      90     550,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      0       0       0,     62     558    3410,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      4      36     220,     66     594    3630,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,     63     567    3465,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      2      18     110,      2      18     110,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      2      18     110,     64     576    3520,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      3      27     165,      3      27     165,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      0       0       0,     15     135     825,     15     135     825,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      1       9      55,      3      27     165,      3      27     165,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      0       0       0,     62     558    3410,      4      36     220,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,     18     162     990,     80     720    4400,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,     63     567    3465,      4      36     220,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      2      18     110,     15     135     825,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      2      18     110,      2      18     110,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,     12     108     660,     74     666    4070,      0       0       0,      0       0       0,      0       0       0,      0       0       0,     17     153     935,     11      99     605,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      2      18     110,     64     576    3520,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      6      54     330,      0       0       0,      1       9      55,     63     567    3465,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      0       0       0,     62     558    3410,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      1       9      55,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      4      36     220,     63     567    3465,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,     35     315    1925,      0       0       0,      0       0       0,      1       9      55,      1       9      55,     24     216    1320,     19     171    1045,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      3      27     165,     71     639    3905,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      3      27     165,      3      27     165,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,     63     567    3465,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      3      27     165,     36     324    1980,      0       0       0,      0       0       0,      0       0       0,      0       0       0,     12     108     660,     10      90     550,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,     12     108     660,     38     342    2090,      0       0       0,      0       0       0,      0       0       0,      0       0       0,     32     288    1760,     27     243    1485,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      3      27     165,     69     621    3795,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      3      27     165,     36     324    1980,      0       0       0,      0       0       0,      0       0       0,      0       0       0,     16     144     880,      7      63     385,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      0       0       0,     62     558    3410,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      3      27     165,     35     315    1925,      0       0       0,      0       0       0,      0       0       0,      0       0       0,     19     171    1045,     13     117     715,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      0       0       0,     25     225    1375,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55
      0       0       0,      0       0       0,      1       9      55,     63     567    3465,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0,     10      90     550,      0       0       0,      9      81     495,      9      81     495,      1       9      55,      1       9      55,      0       0       0,      0       0       0
