harris,,local_laplacian,,unsharp,,bilateral_grid,,camera_pipe,,nl_means,,stencil_chain,
ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline
      0       0       0,      0       0       0,     19     171    1045,     81     729    4455,      0       0       0,      0       0       0,      1       9      55,      1       9      55,     10      90     550,      4      36     220,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,     63     567    3465,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      2      18     110,     68     612    3740,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,     35     315    1925,      0       0       0,      0       0       0,      0       0       0,      0       0       0,     24     216    1320,     24     216    1320,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      2      18     110,     64     576    3520,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      2      18     110,     64     576    3520,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      2      18     110,      0       0       0,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,     17     153     935,     15     135     825,      0       0       0,      0       0       0,      0       0       0,      0       0       0,     23     207    1265,     17     153     935,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,     19     171    1045,     77     693    4235,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      2      18     110,     64     576    3520,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      0       0       0,     62     558    3410,      0       0       0,      0       0       0,      0       0       0,      0       0       0,     20     180    1100,     22     198    1210,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      3      27     165,      3      27     165,      1       9      55,      0       0       0,      0       0       0,      0       0       0,     28     252    1540,     28     252    1540,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,     63     567    3465,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      2      18     110,      2      18     110,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      1       9      55,      0       0       0,     13     117     715,     28     252    1540,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      8      72     440,      8      72     440,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      1       9      55,      1       9      55,     30     270    1650,     29     261    1595,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      3      27     165,      3      27     165,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,     63     567    3465,      0       0       0,      0       0       0,      0       0       0,      0       0       0,     23     207    1265,     23     207    1265,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,     63     567    3465,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      3      27     165,      3      27     165,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      7      63     385,     41     369    2255,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      7      63     385,      7      63     385,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,     23     207    1265,     83     747    4565,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      2      18     110,      2      18     110,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      5      45     275,      0       0       0,     20     180    1100,     18     162     990,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      2      18     110,      2      18     110,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      3      27     165,      0       0       0,      0       0       0,     34     306    1870,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      2      18     110,      2      18     110,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      0       0       0,     62     558    3410,      4      36     220,      0       0       0,      0       0       0,      0       0       0,      2      18     110,      2      18     110,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      0       0       0,     62     558    3410,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,     63     567    3465,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      4      36     220,     70     630    3850,      0       0       0,      0       0       0,      1       9      55,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,     10      90     550,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,     12     108     660,     74     666    4070,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,     35     315    1925,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      9      81     495,      3      27     165,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      2      18     110,      0       0       0,     20     180    1100,     18     162     990,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,     20     180    1100,     58     522    3190,      0       0       0,      1       9      55,      0       0       0,      1       9      55,      2      18     110,     24     216    1320,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      0       0       0,     62     558    3410,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      4      36     220,      4      36     220,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,     55     495    3025,    120    1080    6600,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      3      27     165,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      3      27     165,     62     558    3410,      0       0       0,      0       0       0,      0       0       0,      0       0       0,     17     153     935,     22     198    1210,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      0       0       0,     62     558    3410,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,     63     567    3465,      0       0       0,      0       0       0,      0       0       0,      0       0       0,     14     126     770,     14     126     770,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      4      36     220,     70     630    3850,      1       9      55,      1       9      55,      0       0       0,      0       0       0,     14     126     770,     14     126     770,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      0       0       0,     62     558    3410,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      9      81     495,      9      81     495,      2      18     110,      2      18     110,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,     63     567    3465,      1       9      55,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,     63     567    3465,      1       9      55,      1       9      55,      0       0       0,      0       0       0,      4      36     220,      4      36     220,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      5      45     275,     36     324    1980,      0       0       0,      0       0       0,      0       0       0,      0       0       0,     15     135     825,     12     108     660,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      3      27     165,     65     585    3575,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      3      27     165,      0       0       0,      0       0       0,      2      18     110,      0       0       0,      1       9      55,      1       9      55,     26     234    1430,     28     252    1540,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      2      18     110,     64     576    3520,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      3      27     165,      3      27     165,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      9      81     495,      0       0       0,      2      18     110,      2      18     110,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      1       9      55,      1       9      55,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      0       0       0,     62     558    3410,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      0       0       0,     62     558    3410,      4      36     220,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,     18     162     990,     80     720    4400,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,     13     117     715,     11      99     605,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      2      18     110,      2      18     110,      0       0       0,      0       0       0,      0       0       0,      0       0       0,     10      90     550,     10      90     550,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      2      18     110,     64     576    3520,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      1       9      55,      0       0       0,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      0       0       0,     62     558    3410,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      7      63     385,      7      63     385,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      0       0       0,     62     558    3410,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,     63     567    3465,      0       0       0,      0       0       0,      0       0       0,      0       0       0,     11      99     605,     11      99     605,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,     35     315    1925,      0       0       0,      1       9      55,      1       9      55,      1       9      55,      2      18     110,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      6      54     330,      0       0       0,     17     153     935,     77     693    4235,      0       0       0,      0       0       0,      0       0       0,      0       0       0,     11      99     605,      9      81     495,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      2      18     110,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      0       0       0,     62     558    3410,      1       9      55,      0       0       0,      1       9      55,      1       9      55,      2      18     110,      2      18     110,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,     63     567    3465,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      0       0       0,     34     306    1870,      4      36     220,      0       0       0,      0       0       0,      0       0       0,     10      90     550,      4      36     220,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      2      18     110,     19     171    1045,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,     24     216    1320,     84     756    4620,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55
      0       0       0,      0       0       0,      1       9      55,     63     567    3465,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      0       0       0,     17     153     935,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      0       0       0,     62     558    3410,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      0       0       0,     62     558    3410,      0       0       0,      1       9      55,      0       0       0,      0       0       0,     14     126     770,     15     135     825,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,     63     567    3465,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      9      81     495,      9      81     495,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      0       0       0,     62     558    3410,      0       0       0,      0       0       0,      0       0       0,      0       0       0,     13     117     715,     13     117     715,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      1       9      55,      0       0       0,      1       9      55,     18     162     990,      0       0       0,      0       0       0,      0       0       0,      0       0       0,     48     432    2640,     48     432    2640,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,     61     549    3355,    113    1017    6215,      0       0       0,      0       0       0,      0       0       0,      0       0       0,     34     306    1870,     41     369    2255,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,     63     567    3465,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,     17     153     935,     77     693    4235,      4      36     220,      0       0       0,      2      18     110,      2      18     110,      0       0       0,      0       0       0,      2      18     110,      2      18     110,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      0       0       0,     62     558    3410,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,     63     567    3465,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      1       9      55,      1       9      55,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,     63     567    3465,      0       0       0,      0       0       0,      0       0       0,      1       9      55,     20     180    1100,     19     171    1045,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      2      18     110,     64     576    3520,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      4      36     220,      0       0       0,      0       0       0,     62     558    3410,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      6      54     330,      6      54     330,      0       0       0,      0       0       0,      0       0       0,      0       0       0
      9      81     495,      0       0       0,      2      18     110,     92     828    5060,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      3      27     165,      3      27     165,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      2      18     110,     64     576    3520,      0       0       0,      0       0       0,      1       9      55,      1       9      55,      2      18     110,      2      18     110,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      3      27     165,     65     585    3575,      0       0       0,      0       0       0,      0       0       0,      0       0       0,     14     126     770,      8      72     440,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,     63     567    3465,      0       0       0,      1       9      55,      0       0       0,      0       0       0,      2      18     110,      2      18     110,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,     63     567    3465,      4      36     220,      0       0       0,      0       0       0,      0       0       0,     23     207    1265,     23     207    1265,      2      18     110,      2      18     110,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      5      45     275,     13     117     715,      0       0       0,      0       0       0,      0       0       0,      0       0       0,      2      18     110,      2      18     110,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,     63     567    3465,      0       0       0,      0       0       0,      0       0       0,      0       0       0,     10      90     550,      4      36     220,      1       9      55,      1       9      55,      0       0       0,      0       0       0
      0       0       0,      0       0       0,      1       9      55,     26     234    1430,      0       0       0,      0       0       0,      0       0       0,      1       9      55,     17     153     935,     12     108     660,      0       0       0,      0       0       0,      0       0       0,      0       0       0
