harris,,local_laplacian,,unsharp,,bilateral_grid,,camera_pipe,,nl_means,,stencil_chain,,iir_blur,,interpolate,,max_filter,
ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline,ours,baseline
1.99316,1.93261,129.119,128.445,2.71196,2.69803,8.69334,8.64438,17.8549,19.2437,10.263,10.194,19.9325,20.0452,0.937878,0.932861,27.2649,27.0285,163.748,163.488
2.42001,2.42887,75.624,76.0124,2.46943,2.46396,13.2493,12.694,5.53442,5.71349,15.4269,15.5383,27.4832,28.6548,0.93029,0.926197,24.4735,25.1296,162.465,162.859
2.01301,2.11615,71.6275,76.011,4.26504,4.22801,8.80001,8.6039,10.2182,10.5469,10.9267,10.37,18.0524,19.2558,0.9911,0.981447,29.6098,29.0585,178.942,171.885
2.78384,2.76658,86.832,86.3033,2.31677,2.31789,8.18337,8.35618,17.7533,15.3745,20.218,20.1033,29.9946,29.4387,0.974976,0.981688,25.6798,26.2333,173.674,173.98
2.15874,2.14022,75.8528,73.5795,3.19875,3.13358,8.89704,8.66251,11.8363,10.2323,24.1644,23.3025,25.9276,26.279,1.01441,1.01516,26.3097,26.2161,161.2,160.068
2.80854,2.84028,67.3222,67.7294,3.50947,3.53032,8.96614,8.85859,6.91682,6.80087,15.1382,15.1527,30.6177,29.7171,0.928268,0.937467,24.5786,25.5531,180.039,179.056
1.66741,1.65879,67.9793,69.9824,2.98037,2.99198,7.36043,7.42001,6.82989,5.33548,15.7651,15.7029,18.8826,19.1954,0.974784,0.973021,25.3356,24.8217,161.664,161.806
1.77836,1.86923,68.6598,68.3217,2.63355,2.62959,10.235,10.3247,6.38771,6.84675,13.4555,13.5066,35.2916,35.8764,0.978707,0.987608,29.1298,29.4604,169.725,170.096
4.196,4.32044,97.5462,94.2824,3.45423,3.49517,10.8845,10.5479,7.70759,7.62509,9.20012,8.88238,26.1196,27.0484,0.988256,0.99975,27.4787,27.1102,159.271,161.713
3.6416,3.34372,88.3268,89.227,5.76061,5.62556,10.1219,9.8882,7.88375,7.9153,11.1536,11.2454,21.7515,20.6147,0.993539,0.99374,33.2448,30.4569,113.559,113.682
1.9483,1.94473,68.9284,69.6786,3.55415,3.53339,8.62205,8.31207,7.98239,7.97137,9.16541,8.88878,30.979,29.6756,0.983146,0.963074,29.7075,28.238,118.517,118.362
2.14135,2.16035,145.518,142.869,3.24706,3.18741,11.7672,11.2585,8.60514,8.86436,22.405,22.6332,17.6336,17.131,0.99865,0.987231,28.5845,29.7374,182.403,183.544
2.57391,2.24468,71.5994,72.3977,4.69357,4.79944,8.32543,8.07802,8.36969,8.48052,16.6382,16.7054,29.4748,29.5554,0.97627,0.979911,29.1677,28.7955,110.608,107.923
1.69257,1.67817,67.5501,65.4239,3.50595,3.46982,7.27666,7.42955,9.52669,10.0826,40.4465,40.5968,23.5837,22.6302,0.972744,0.930933,26.764,26.5686,157.574,156.964
2.23697,2.27019,74.9144,72.8235,2.31438,2.31503,10.1496,9.67445,15.9703,15.6618,26.8624,26.3475,28.4516,28.3941,0.965453,0.952854,35.6097,35.7828,200.928,202.246
3.24457,3.35979,72.1407,74.3806,2.51701,2.55842,8.8448,8.77043,7.19087,7.02557,21.5834,21.484,20.3678,21.0024,0.984513,0.981297,30.4485,28.3523,122.563,120.653
2.19578,2.22988,87.5146,87.6131,4.47403,4.4011,8.52101,8.38608,7.25434,7.39222,9.06651,8.78673,19.9312,19.2326,0.98796,0.979268,30.4911,31.4071,198.571,197.406
3.78735,3.8839,73.0332,75.5032,3.02392,3.00553,12.9659,12.5873,10.7722,10.3982,14.9163,14.7359,20.0237,20.1176,1.02556,1.0246,26.5988,26.5062,170.803,174.487
2.59763,2.61943,72.1692,72.617,3.12416,3.12063,7.52503,7.60343,7.11739,6.93273,20.381,20.6658,19.6566,18.3756,0.933112,0.937805,26.8295,26.8112,174.856,173.885
2.09679,2.22895,86.7902,88.327,4.24861,4.37246,8.69645,8.75549,16.0506,17.12,13.6126,13.7957,19.7135,20.2226,1.01635,1.00757,26.7774,30.2807,103.065,99.4917
2.3131,2.26827,101.097,96.5269,2.92156,2.80033,8.38469,8.51171,9.33934,8.72348,27.7143,26.5725,24.4694,24.5262,1.00756,1.00335,26.1954,27.6253,176.846,167.158
2.77591,2.22098,63.9045,62.9676,4.0611,4.04175,7.89446,8.02051,12.6096,12.5626,12.5435,12.1568,21.3203,21.1459,1.00561,1.00439,25.692,24.3381,187.035,185.066
2.22329,2.03915,73.454,73.319,3.95782,3.92877,8.66938,8.544,7.46615,7.46298,14.883,14.7132,19.7975,19.3564,1.01081,1.01717,25.8174,25.6913,328.926,334.02
1.57258,1.61699,69.904,69.1889,2.78383,2.79709,7.3972,7.23399,6.4567,6.43705,26.4079,26.193,24.7491,24.0109,0.995302,0.989676,27.5435,27.2004,160.295,158.656
2.00935,2.04762,75.5552,70.8669,4.96919,5.02975,9.09285,8.79526,6.56355,6.49127,16.1577,15.6948,23.1573,25.4408,0.988822,0.983981,27.9182,29.1808,178.03,172.085
2.86139,2.58221,87.6852,85.9799,4.49782,4.42413,10.489,10.5737,17.7812,16.9751,14.1792,13.9551,28.7592,27.5856,1.11095,1.10721,25.3831,25.4166,107.947,107.46
1.74219,1.70278,72.508,78.4416,5.0925,4.99747,8.2993,8.11168,9.78352,10.4166,15.3321,15.5714,21.9782,21.3485,0.994351,0.986835,29.1996,30.1386,175.194,175.359
1.77184,1.85832,74.112,75.9289,4.45695,4.65093,8.56593,8.88466,8.09444,8.112,14.7848,14.6461,29.0973,27.7375,1.04744,1.05254,25.8976,26.2351,117.021,115.489
4.75598,4.69823,65.4582,68.7914,2.78708,2.77819,7.4273,7.48696,9.82485,11.4773,21.6769,21.6121,19.2681,19.4533,0.924973,0.921299,32.0371,33.5733,156.389,156.689
2.69938,2.75454,116.347,119.032,4.67442,4.72482,9.69504,9.68722,8.47902,8.73587,13.0445,13.3048,29.8293,29.87,0.993101,0.995465,30.0837,30.2066,174.235,179.738
1.54498,1.66305,69.5241,67.3132,4.4537,4.46702,11.0249,10.9568,15.7641,15.5984,13.1108,12.514,25.9931,26.0378,0.980778,0.976112,24.9757,25.6808,118.709,122.18
1.57016,1.56969,65.7955,67.6695,4.96733,4.94135,8.39879,8.17582,15.2023,18.3488,8.76719,8.90259,29.7695,30.1068,0.996518,0.996311,27.4327,29.3908,133.849,135.131
3.52582,3.62219,68.0044,66.7959,4.73538,4.8018,9.67998,9.79332,8.90288,9.24406,29.837,29.8964,24.2303,24.513,1.00311,1.00746,31.2842,30.4373,302.322,298.924
1.66922,1.6686,71.106,70.5641,4.45886,4.23235,8.17458,8.14463,13.0383,12.3761,28.9672,28.4156,32.3951,31.357,0.979317,0.978283,25.285,25.2467,120.289,120.092
2.96109,2.8205,76.0234,72.8107,4.16867,4.27509,10.8028,10.425,10.7211,10.6595,9.00099,8.79371,19.0866,19.4568,1.0012,0.990151,29.0811,30.0171,248.011,244.033
1.85078,1.82678,71.4693,70.1716,3.33156,3.33878,8.50476,8.37267,8.16848,8.20555,12.1351,12.7494,20.0881,20.4779,0.973557,0.978324,24.7811,25.741,109.734,109.574
2.55056,2.30445,69.7846,69.8621,4.43907,4.42243,11.0034,10.8336,8.36365,8.42728,15.3424,15.9597,19.4602,19.7192,0.990879,0.983743,25.3521,25.8102,107.23,105.593
3.65694,3.67054,66.1685,63.9996,3.77407,3.71072,8.74538,9.02026,8.57904,8.46775,15.9636,15.8592,24.6177,25.0938,1.00323,0.998129,29.8139,31.0292,191.888,191.495
4.14769,4.1608,89.1185,91.8936,4.25441,4.1754,8.64095,8.62941,9.73176,9.96531,18.2449,17.7988,39.6942,37.6215,0.974199,0.977445,25.0977,25.2334,101.062,101.33
1.75834,1.76752,70.5784,70.4741,2.65794,2.70277,7.85399,7.70015,8.52683,8.50196,19.5974,18.5645,33.2775,33.0709,0.958556,0.933425,27.0836,24.516,326.362,322.309
2.94539,2.9077,66.2052,66.2154,4.95317,4.87601,8.38546,8.77707,7.8876,7.95728,12.3536,12.1331,19.8617,18.9588,1.05727,1.05938,26.7261,25.3447,184.097,188.598
2.38035,2.66881,66.9609,67.9606,4.87917,4.87701,8.67108,8.59798,14.8396,14.7913,14.3251,14.678,21.7637,20.9677,1.00282,0.992742,28.3976,30.3807,218.759,222.125
1.68932,1.83286,80.6124,77.3559,4.49314,4.59888,8.23658,8.23863,8.81559,8.81119,14.4222,14.4038,20.1849,20.4581,1.01559,1.00895,30.9522,28.9399,184.615,189.334
2.89632,2.59896,96.6273,100.218,4.58286,4.58501,8.88211,8.3855,11.1992,11.2359,9.7111,9.28978,21.8645,20.9699,0.92791,0.939052,24.2769,25.3324,238.502,235.61
2.33324,2.31479,72.3055,77.2048,2.82692,2.78875,12.001,12.1924,8.59866,8.62665,7.51745,7.11408,32.2995,32.051,0.998053,1.00383,25.1879,25.2091,159.96,159.145
1.76301,1.76414,112.686,120.084,4.25104,4.4445,9.50437,9.54858,10.1792,10.538,12.6509,13.086,21.6224,20.9483,0.983582,0.981438,29.4675,29.9357,205.798,208.482
2.86354,3.25207,74.295,73.9106,3.3327,3.45034,10.1163,9.58758,9.50607,9.57706,11.0817,11.1461,23.332,23.6003,0.983434,0.985786,27.7471,29.6916,197.576,186.567
2.94344,3.17489,54.561,55.7206,3.31202,3.34981,8.97579,8.05297,23.0513,23.358,13.9985,13.1805,28.4692,28.3602,0.975161,0.979749,25.2016,24.4075,115.043,117.44
2.4371,2.36315,60.6655,59.5206,3.09891,3.29578,8.66881,8.80532,11.5399,10.7958,11.2368,11.1865,22.6779,22.065,1.03746,1.02833,30.1102,30.1752,165.245,163.76
2.21647,2.24413,66.6372,67.9017,3.27741,3.256,9.87294,10.1256,7.77639,7.80384,40.5497,39.5858,22.315,22.3085,0.915628,0.941293,31.1264,29.7809,101.54,100.513
2.32382,2.22195,71.4847,70.5926,2.69051,2.66942,7.71609,7.72384,7.2137,7.12754,16.4827,16.6427,25.1133,25.7913,1.06156,1.05017,28.8376,29.3009,165.785,166.767
3.3428,3.24234,75.7489,77.5184,4.55913,4.28975,8.53373,8.64297,5.73883,6.75686,14.8293,14.1015,21.9848,23.8472,0.981595,0.982178,28.0767,26.233,224.403,221.796
2.14791,2.02361,56.7681,58.4121,3.44061,3.35582,10.0677,10.6464,9.92544,9.426,10.1636,11.6764,31.6642,31.2328,1.01464,1.01206,32.2249,31.6681,223.108,222.264
6.19518,6.07951,69.4792,70.7993,2.60209,2.60056,7.68463,7.854,15.2376,15.9423,9.90038,10.1049,21.9135,20.5962,0.985735,1.00007,25.7441,23.9693,172.774,173.274
1.52687,1.65909,115.652,111.105,3.83677,3.91612,8.78529,8.4487,11.6944,11.7331,18.3706,18.3711,32.7042,32.8529,0.960576,0.951536,29.0524,29.9744,169.542,182.056
1.89121,1.74508,73.5712,72.5271,4.49568,4.40729,8.74205,8.76877,7.61845,7.53623,12.6976,12.5956,20.7077,20.482,0.981879,0.987227,25.5774,26.7619,183.53,174.629
2.77989,3.02536,75.6429,75.9422,3.32446,3.34101,11.9779,11.4096,7.3716,7.91807,10.6359,11.249,33.0873,32.2817,0.968324,0.988603,28.7312,29.9136,105.392,106.729
4.0011,3.85333,54.6458,53.9767,3.92459,4.03513,8.66359,8.77851,11.6893,12.602,16.7946,17.1952,13.5834,13.2932,0.968693,0.97433,30.3314,31.4245,188.545,188.204
2.66774,2.09607,73.1319,74.0366,2.80708,2.79821,8.66864,8.42367,7.16481,6.86959,12.5806,12.6797,18.9119,19.4923,1.02431,1.02043,26.8798,25.1993,180.895,175.147
1.77588,1.67925,89.4103,86.0133,3.10183,3.19603,8.48446,8.78269,9.29304,10.1749,10.3199,10.5166,34.3034,34.9062,1.0154,1.01618,26.9135,25.8372,165.621,172.969
5.17168,5.7119,64.462,66.9701,4.20865,4.21363,11.2081,10.9751,11.9339,11.9933,33.8179,34.286,25.385,25.7004,1.30603,1.31386,25.32,25.7732,186.058,188.458
1.54505,1.50595,64.6856,62.8871,2.45804,2.42465,8.65433,8.55088,7.50611,7.65414,19.9879,19.3067,25.6767,25.1942,0.991361,0.996519,27.746,28.8636,146.176,149.785
1.63018,1.64059,74.2996,76.0673,4.74186,4.5137,8.47349,8.32451,8.04688,8.23617,12.6869,12.4034,20.486,20.6601,0.979214,0.978246,29.0353,29.7297,135.472,136.227
2.46768,2.41491,66.2387,66.0559,5.42297,5.41777,8.69441,8.59815,6.47858,6.99299,8.42459,8.09668,42.0676,40.235,0.94454,0.968145,29.1437,28.0658,154.705,160.014
1.79971,1.82512,84.2788,83.3594,2.67092,2.65976,8.88154,8.60466,8.99373,8.89444,6.98923,6.88716,29.8999,30.6834,0.968613,0.979379,29.6074,28.2291,162.408,161.638
2.10706,2.14114,60.9507,60.9429,3.99949,3.91226,8.6177,8.68412,7.42459,7.48827,10.2392,10.1733,22.4336,21.1941,0.979159,0.971712,26.2744,27.5166,188.421,185.935
3.31274,3.30214,54.5546,52.5847,4.08066,4.09467,8.88425,8.46917,6.98775,7.12203,13.6229,13.1596,21.2816,21.5164,0.92492,0.932767,29.9115,29.9195,105.55,103.877
2.39072,2.57922,70.9091,70.7168,4.67174,4.72488,8.95481,9.0325,6.87745,6.63177,15.9127,15.6604,20.4843,20.6582,0.988481,0.995002,30.7573,30.5958,188.177,186.247
2.13244,2.02612,65.3873,68.4726,3.96758,4.02714,8.60182,8.5278,7.31071,7.26099,12.5576,12.6392,19.9293,20.0429,0.973063,0.979697,28.4563,30.0451,199.095,189.323
1.83827,1.92898,74.0869,74.6085,2.33737,2.35833,8.87147,9.17066,6.2899,6.31874,11.6679,12.4857,21.9705,21.0205,0.988864,0.989261,25.8095,24.2913,151.817,151.1
2.17748,2.18292,78.3877,76.9361,3.15561,3.18047,12.0067,10.8319,6.29601,6.4226,10.0743,9.94543,24.0091,26.2413,0.93978,0.940927,26.2092,27.6743,127.576,129.601
1.66794,1.65436,53.5852,56.2014,4.98222,4.57367,8.54787,8.527,9.6359,9.65535,12.6416,11.901,21.1064,20.4115,0.992862,1.00069,26.8618,26.4541,172.204,175.296
2.23472,2.22688,68.1351,69.2503,2.53942,2.53242,7.41508,7.57398,7.6058,7.53183,35.4285,34.8526,24.6747,24.7845,1.08699,1.10591,28.372,29.1995,297.238,296.22
2.62703,2.4708,71.9122,70.2414,4.90042,4.88128,9.82988,10.012,14.6406,15.4106,15.3653,15.5739,21.7273,21.4969,0.995149,0.998721,26.8031,25.3709,185.96,184.299
2.99731,2.98868,53.8949,53.4317,2.73837,2.72781,7.69763,7.60187,8.72062,8.61745,29.9044,30.4103,22.6006,23.6299,1.02257,1.02041,27.7726,29.9306,181.47,181.482
2.86318,2.97486,73.2326,72.3655,3.87942,3.87947,8.85857,8.87617,10.4042,10.6892,12.1977,12.133,31.8802,32.1918,0.982379,0.974711,30.8156,30.3605,106.736,105.875
1.97822,1.92162,64.305,62.8481,2.72876,2.74116,7.47749,7.52684,8.96357,8.77239,8.80207,8.37879,21.2671,21.1674,0.999106,1.00658,24.0885,26.3919,187.058,185.289
1.76354,1.71272,80.7003,84.9026,4.20455,4.44247,8.12648,8.19354,6.98515,7.12821,10.478,10.947,19.6151,19.8101,1.05545,1.03639,30.9617,32.4961,182.859,178.275
2.98041,3.09417,89.1987,91.991,3.7561,3.56338,8.06622,8.09151,9.042,9.24311,11.201,10.632,12.0393,11.8726,1.0299,1.02349,32.9569,31.3682,179.426,180.481
1.77277,2.10716,68.3177,69.657,4.76935,4.65278,9.5331,9.2773,7.51358,7.49475,11.8449,12.0079,21.421,20.8131,0.983987,0.978871,25.1077,26.4407,176.715,169.889
1.63662,1.60518,75.4335,71.7226,2.78382,2.70735,8.88741,8.9541,8.86523,8.90343,10.6213,10.3248,20.968,22.8322,1.00954,1.01348,29.983,29.0893,164.973,166.754
2.04468,2.08605,63.8485,68.2767,3.32303,3.24579,8.62777,8.1194,5.46666,5.76767,13.0328,15.2489,26.3421,26.5512,0.989045,0.975506,23.9802,25.7276,122.913,122.859
2.52814,2.27956,84.8005,85.1813,4.64707,4.6711,8.68714,8.66722,16.1702,14.6963,10.8796,11.277,26.0954,27.4789,0.97537,0.972432,35.0104,34.7782,198.96,195.694
1.76101,1.82807,92.4868,91.8755,2.72487,2.65312,8.47079,8.30353,12.8958,13.2459,15.0135,14.5659,13.4019,13.7973,1.05225,1.06105,27.3306,25.9822,119.417,119.87
2.60442,2.43746,89.1302,87.0325,4.00192,4.13492,8.28051,8.42826,7.35145,7.33214,9.6539,9.62237,19.7305,19.7483,0.981998,0.995554,30.3244,29.8444,195.817,189.841
2.03079,2.13213,62.3665,65.6843,4.36459,4.39209,9.38623,9.33962,10.334,10.5489,15.1235,15.2761,19.879,20.495,0.968486,0.990286,35.4344,35.4449,116.44,112.081
2.3455,2.55222,70.6634,69.9804,2.95343,2.94849,8.7615,8.61305,6.56204,6.91279,10.7563,10.132,20.7647,19.9269,0.98428,0.987657,29.4172,30.3529,162.397,161.106
2.87222,2.7225,88.8327,89.7464,3.78391,3.87371,9.33005,9.3282,7.14821,7.10809,15.036,14.8498,24.2072,24.0561,0.972711,0.96961,25.291,26.7785,184.937,181.451
1.82593,1.72776,70.5264,71.1972,4.7659,4.8847,7.94714,8.09153,8.05101,9.07275,11.2681,11.2521,20.5606,19.9678,0.993454,0.98824,30.3425,28.5913,171.487,184.807
3.82475,3.84109,74.702,76.0338,3.99772,3.97813,8.53646,8.84607,8.2128,8.16682,23.8337,23.6746,20.3742,19.2858,0.985836,0.989386,25.3975,25.278,173.068,169.682
2.2925,2.11476,53.482,53.9406,3.99151,3.91231,8.87379,8.8581,7.24269,7.2991,15.2677,15.4112,20.1867,18.8932,0.962165,0.985151,27.713,30.3322,197.439,190.473
2.4452,2.156,69.9781,69.8787,4.40914,4.4853,13.5046,13.6676,7.10176,7.38252,9.33487,9.3266,26.346,26.7678,1.00485,1.01053,28.1212,29.2759,189.622,192.483
1.97685,1.90043,69.0703,71.1329,4.7642,4.58848,12.1568,12.0328,7.66708,7.38292,13.1173,13.4026,23.7258,22.5085,0.96919,0.968437,31.7477,31.5278,120.392,120.789
1.93344,1.9325,88.8484,85.645,2.89747,2.86639,8.44701,8.10479,11.2594,11.2515,14.8323,15.024,20.8113,20.5768,0.975052,0.99091,31.2236,30.8002,100.982,103.229
1.63051,1.62539,67.0326,65.6444,3.74541,3.64452,8.73249,8.57759,8.90016,8.92068,15.2471,15.1597,21.4986,19.9348,0.965552,0.983188,25.6966,26.4853,101.783,104.974
2.0643,2.03598,64.7848,63.8858,2.91369,2.92598,8.88264,8.72774,14.8959,13.9177,26.6273,27.2755,21.9412,22.2083,2.00079,1.99586,29.3194,29.1051,157.123,156.244
2.213,2.04765,71.0095,70.8386,5.5138,5.35557,9.57125,9.37248,5.78023,5.33601,10.2292,10.0382,26.5167,26.7783,0.967468,0.961473,29.7299,29.8437,110.067,113.733
